term,pos,comment,translation_es,comment_es
asymmetric-key encryption,Noun,"Traditional encryption systems use the same secret, or key, to encrypt and decrypt a message. So if I encrypted a file with the password ""bluetonicmonster"", you would need both the file and the secret ""bluetonicmonster"" to decode it. Public key encryption uses two keys: one to encrypt, and another to decrypt. This has all kinds of useful consequences. For one, it means that you can hand out the key to encrypt messages to you, and as long as you keep the other key secret, anyone with that key can talk to you securely. The key you hand out widely is known as the ""public key"": hence the name of the technique. Public key encryption is used to encrypt email and files by Pretty Good Privacy (PGP), OTR for  messaging, and SSL/TLS for web browsing.
Synonyms: Public key encryption, Public key cryptography. (Source EFF)",,
at the Heart of Internet Freedom,,,,
attach,Verb,To attach a file to a message,,
attachment,Noun,[Signal] File sent together with an email or other electronic message.,adjunto,
attack,Noun,"In computer security, an attack is a method that can be used to compromise security, or its actual use. An attacker is the person or organization using an attack. An attack method is sometimes called an ""exploit.""
Source EFF.",,
attacker,Noun,,,
audio,Adjective,[Signal],,
audio,Noun,,,
auth token,Noun,[Orbot],"token de autenticación, token de seguridad","""Un token de seguridad (también token de autenticación o token criptográfico) es un aparato electrónico que se le da a un usuario autorizado de un servicio computarizado para facilitar el proceso de autenticación."" (Fuente: https://es.wikipedia.org/wiki/Token_de_seguridad)"
authenticate,Verb,,acreditar,
authenticated,Adjective,,,
authentication,Noun,[Signal],,
authentication ,Noun,[Signal],,
author,Noun,,autór,
authorize,Verb,,,
automated traffic,Noun,,,
autonomous system number,Noun,,,
availability,,,,
availability,Noun,,,
available,Adjective,,disponible,
avatar,Noun,"A computer generated visual icon used as an alternative digital fingerprint. aka ""identicon"". [Signal]",,
back,,,,
back,Noun,As in “Back” button,,
back,Verb,,,
back up,Verb,,crear copia de seguridad,
background,Noun,Screen surface where text and graphic elements are displayed,segundo plano,
backlog,Noun,Delayed processing of some sort,,
backup,Noun,"[Signal] [Orbot] Copy of data, updated regularly or not, in order to allow restoration in case of data loss.
It can be stored locally, on the cloud or on a removable medium such as an optical disk or USB drive. This last option allows backups to be stored away safely.","copia de seguridad, respaldo",
badge,Noun,[Signal],,
balance,Noun,What is left to be paid or recovered.,,
bandwidth,Noun,[Orbot],ancho de banda,
bank fees,,,,
bar,Noun,,,
bar chart,Noun,,gráfico de barras,
bare-metal,Adjective,,,
base,,,,
batch select,Noun,[Signal],,
battery,Noun,,,
be careful,,,,
best-effort delivery,Noun,,,
beta,Noun,,,
big data,Noun,,datos masivos,
billing,,,,
binaries,Noun,,,
binary,Noun,"Binary file.
8-bit encoded data file using only 0 and 1, different from ASCII which is 7-bit encoded.",archivo binario,"""Un archivo binario es un archivo informático que contiene información de cualquier tipo codificada en binario para el propósito de almacenamiento y procesamiento en ordenadores. Por ejemplo los archivos informáticos que almacenan texto formateado o fotografías, así como los archivos ejecutables que contienen programas"" (Fuente: https://es.wikipedia.org/wiki/Archivo_binario)"
block,,,,
block,Noun,,,
block,Verb,[Signal],,
blocked,Adjective,,,
blocked access,Noun,,,
blockfile,Noun,[I2P] http://www.i2p2.de/blockfile.html,,
blocking,Noun,"Synonyms: filtering, censoring Internet traffic.",,
blocking resistant,Adjective,,,
blog,Noun,,,
blog post,Noun,"Short text posted to a blog, the content of which is left entirely to the discretion of the author.",,
blogging,Noun,Posting to a blog and updating it regularly.,,
body,Noun,,cuerpo,
bookmark,Noun,,favorito,
boolean,Adjective,,tipo de dato lógico / boolean,"""El tipo de dato lógico o booleano es en computación aquel que puede representar valores de lógica binaria, esto es 2 valores, valores que normalmente representan falso o verdadero."" - Wikipedia"
boolean,Noun,,tipo de dato lógico / boolean,"""El tipo de dato lógico o booleano es en computación aquel que puede representar valores de lógica binaria, esto es 2 valores, valores que normalmente representan falso o verdadero."" - Wikipedia"
boot,Noun,[Orbot],"ejecutación, iniciación",
boot,Verb,[Orbot],arrancar / ejecutar / iniciar,
bootable,Adjective,,arrancable / ejecutable,
bootloader,Noun,,cargador de arranque,g
bot,Noun,,,
botnet,Noun,,,
bounce,Verb,,,
bouncing,,,,
bounty,Noun,,,
box,Noun,,,
break in,Noun,,irrupción,
bridge,Noun,[Orbot] [Tor],puente de red,
bridge,Verb,[Tor],puentear,
bridge line,Noun,[Tor] a line with the bridge configuration,línea compartida,
bridge relay,Noun,[Tor],repetidores de puente de red,
bridge type,Noun,[Tor],tipo de puente de red,
broad range,,,,
broadcast,Verb,[Signal],,
browse,Verb,[Orbot],navegar,
browser,,,,
browser,Noun,web browser,navegador,
browser fingerprint,Noun,"The various properties of your web browser or computer that a web site can notice when you visit. They may be slightly different from other browsers or computers, which can be a way to recognize you even if you didn't log in, even if your computer doesn't save cookies, and even if you connect to the Internet from a different network in the future. For example, you might be the only person who uses a particular site from a device set to a particular language, with a particular screen size, and using a particular web browser version; then the site could realize that it's you whenever you visit, even if you don't do anything to reveal your identity.
Source EFF.",,
browsing,,,,
buffer,Noun,,,
bug,Noun,,error,
bug report,Noun,[Signal],informe de error,
bundle,Noun,,,
bundled,Adjective,,,
burden,,,,
burner phone,Noun,"A phone that is not connected to your identity, is only used for a small set of calls or activities, and can be discarded if and when it is suspected of being tracked or compromised. Burner phones are often pre-paid mobile phones bought with cash. (Synonyms: Throwaway)
(Source: EFF)",,
button,Noun,,,
by,Adverb,,,
bypass,Verb,,"pasar, evitar, eludir",
bytes,Noun,[Globaleaks],,
cache,Noun,,,
cache,Verb,,,
cache-busting,Noun,,,
calendar,Noun,,,
camera,Noun,,,
cams,,,,
can,Verb,,,
cancel,Verb,[Signal],cancelar,
cannot,Verb,,,
capability,Noun,"The capability of an attacker (in the context of an attack) is what it is able to do to achieve its aims. For example, a country's security services might have the capability to listen to telephone calls while a neighbor may have the capability to watch you from their window. To say that an attacker “has"" a capability does not mean that they will necessarily use that capability. It does mean that you should consider and prepare for the possibility.
Source EFF.",,
car documents,Noun,[Umbrella],,
carjacking,Noun,,,
carry,,,,
case management,Noun,[GlobaLeaks],,
cash,,,,
cc,Noun,“carbon copy”,,
censor,,,,
censored,,,,
censored,Adjective,,"censurado, -a",
censorship,,,,
censorship,Noun,[Signal],censura,
cerificate,,,,
certificate,Noun,,certificado,
certificate,Verb,To give a certificate,,
certificate authority,Noun,,,
certificate chain,Noun,[Globaleaks],,
certificate chain file,Noun,[Globaleaks],,
certificates,Noun,"Is it needed, the plural form defined here? The singular already exists.",,
chain,Noun,,,
change,Verb,,,
change log,Noun,,,
charges,,,,
chart,Noun,,,
chat,Noun,[Signal],chat,(m.)
chat,Verb,[Signal],chatear,
check,Verb,,comprobar,
checking,,,,
checkpoint,Noun,,,
checksum,Noun,,suma de comprobación,
choke,Verb,,,
chokepoint,Noun,,,
choker,Noun,,,
choose,Verb,,,
choose ,Verb,,,
chronic stress,Noun,,,
cipher,Noun,,,
ciphertext,Noun,,,
circuit,Noun,[Orbot],circuito,
circuits,,,,
circuits,Noun,,,
circumvent,Verb,[Orbot],evitar o eludir,
circumvention,Noun,[Signal] [Orbot],elusión de la censura,
clear,Verb,[Signal] [Orbot],limpiar,
cleartext,Noun,,,
click,Noun,,,
click,Verb,[Signal],hacer clic,
click and hold,Verb,,,
clickjacking attack,Noun,,,
client,Noun,"[Signal] [Orbot] As in ""desktop client"" or ""Android client.""",cliente,
clipboard,Noun,[Signal],,
clock skew,Noun,,,
close,Verb,,,
cloud,,,,
cloud server,Noun,[Orbot],servidor de la nube,
cloud storage,Noun,,,
coarse data,Noun,Unprocessed data,,
code,Noun,,,
codec,Noun,,,
collected,,,,
collection,,,,
collection,Noun,,,
collusion,Noun,,,
collusion attack,Noun,,,
color,Noun,,,
column,Noun,,Columno,
command,Noun,,,
command and control server,Noun,"A command and control server (C&C or C2) is a computer that gives orders to malware-infected devices and receives information from those devices. Some C&C servers control millions of devices.
Synonyms: C&C, C2.
Source EFF.",,
command line,Noun,,lí­nea de Órdenes,"evitar el falso cognado «comando», que no significa lo mismo
I respectfully disagree. 'línea de comando' is very well understood as an only-text interface where you interact with some kind of shell."
comment,Noun,[Globaleaks],,
commercial VPN,Noun,"A commercial Virtual Private Network is a private service that offers to securely relay your Internet communications via their own network. The advantage of this is that all of the data you send and receive is hidden from local networks, so it is safer from nearby criminals, or untrusted local ISPs or cybercafes. A VPN may be hosted in a foreign country, which is useful both for protecting communications from a local government, and bypassing national censorship. The down side is that most of the traffic is decrypted at the commercial VPN's end. That means you need to trust the commercial VPN (and the country where it is located) not to snoop on your traffic.
Source EFF.",,
communicate,Verb,,,
communication,,,,
communication,Noun,,,
community,,,,
community,Noun,,,
community center,Noun,,,
companies,,,,
compartmentalization,Noun,,Compartimentación,
compartmentalize,Verb,,,
compatible,Adjective,,compatible,
complete,Verb,,,
completed,Adjective,,,
compose,Verb,[Signal],componer,
compressed,Adjective,,,
compression,Noun,,compresión,
compression/decompression tool,Noun,,herramienta de compresión/descompresión,
compromise,Verb,,,
compromised,Noun,[Globaleaks],,
computer,Noun,[Signal],computadora,(Sinónimo: ordenador)
concern,,,,
concordance,Noun,,,
conference,Noun,,,
conferences,,,,
confidentiality,Adjective,[Globaleaks] [Orbot],confidencialidad,
configuration,Noun,[Globaleaks] [Orbot],configuración,
configure,Verb,[Signal] [Orbot],configurar,
confirm,Verb,,confirmar,
connect,Verb,[Signal],,
connecting,Verb,,,
connection,,,,
connection,Noun,[Orbot],conexión,
consensus,Noun,,consenso,
constraint,Noun,,,
contact,Noun,[Signal] [Martus] Another Martus user with whom you can share your Martus bulletins.,Contacto,
contact info,Noun,,,
contact information,Noun,,,
contact request,Noun,,,
content,Noun,,,
context,Noun,"[Globaleaks] Tips are classifies in contexts, e.g. corruption",,
control panel,Noun,,panel de control,
control port,Noun,,,
conventional,Adjective,,convencional,
conversation,Noun,"A ""conversation"" is the same as a message ""thread"" [Signal]",conversación,
cookie,Noun,"[Orbot] Cookies are a web technology that let websites recognize your browser. Cookies were originally designed to allow sites to offer online shopping carts, save preferences or keep you logged on to a site. They also enable tracking and profiling so sites can recognize you and learn more about where you go, which devices you use, and what you are interested in – even if you don't have an account with that site, or aren't logged in. (Source : EFF)",cookie,"Cookies son una tecnología de la web que permite a los sitios web reconocer tu navegador. Las cookies fueron originalmente diseñadas para permitir a los sitios ofrecer canastas de compras, guardar las preferencias o mantenerte logueado en un sitio. Ellos también permiten rastrear y perfilarte,  para que de esta manera los sitios puedan reconocerte y conocer mas sobre tu navegación, que dispositivo usas, y en que estás interesado – inclusive si no tienes una cuenta con ese sitio, o no has entrado en el."
cookies,Noun,,,
copy,Verb,,,
corporate foundation,,,,
corporate intranet,Noun,"Companies and other large institutions will usually have some services (email, web, and access to files and printers for instance) that are accessible from within their own local network, but not from outside on the wider Internet. Most companies take this as being sufficient security to protect their internal documents, but this means that any attack that can connect to the intranet can access or interfere with all the information being kept locally. An example of such an attack is tricking an employee to install malware on their laptop. To allow employees to access the intranet via the wider Internet, companies will often provide their own Virtual Private Network (VPN) which creates a secure connection to the inside of the intranet from anywhere in the world.
Source EFF.",,
country,,,,
crack,,,,
crash,Noun,,,
crash report,Noun,,,
create,Verb,,,
credentials,Noun,,,
credit card,,,,
credits,Noun,,,
critical,,,,
cropping,Noun,,,
cross-certification,Noun,,,
crucial,Adjective,,,
cryptocurrency,Noun,,,
cryptographers,,,,
cryptographic signature,Noun,"The use of a mathematical technique to confirm the origin of information, and to confirm that it wasn't changed since it was written. Digital signatures may be used with software downloads to make sure that the software you're installing is the same as the official published version, and that nobody has tampered with it. They're also often used on encrypted email and for many other purposes. When information isn't protected by a digital signature, an Internet service provider or other communications provider could change the contents of what someone wrote or published, and there wouldn't be a technical means to detect that this happened.
Synonyms: digital Signature
Source EFF.",,
cryptography,Noun,"The art of designing secret codes or ciphers that let you send and receive messages to a recipient without others being able to understand the message.
Source EFF.",,
cryptoparty,Noun,"When you're using public key encryption, it's important to be sure that the key you use to encrypt a message really belongs to the recipient (see key verification). PGP makes this a little easier by having a way to tell others ""I believe this key belongs to this person -- and if you trust me, you should believe that too."" Telling the world that you trust someone's key is called ""signing their key"": it means anyone who uses that key can see you vouched for it. To encourage everyone to check and sign each others keys, PGP users organize key-signing parties. They're almost, but not quite, as exciting as they sound.
Analogy: It's like a networking party, where you introduce your friends to other friends.
Synonyms: key-signing party.
Source EFF.",,
"crítico, críticos, de segurança pessoal da informação",,,,
current,Adjective,,,
currently,,,,
curriculum for trainers,Noun,,la currícula para talleres/talleristas,
custidoan,Noun,,,
custodian,Noun,[Globaleaks],,
custom,Adjective,,,
customer support,Noun,,asistencia al cliente,
customization,Noun,[Globaleaks],,
customize,Verb,,personalizar,
cut,Verb,,,
daemon,Noun,,,
dashboard,Noun,,,
data,Noun,[Signal] [Orbot],datos,
data package,Noun,,,
data retention,Noun,,,
data storage,Noun,,,
data-Driven Dropdown (Field),Noun,[Martus],,
database,Noun,[Signal],base de datos,
datastore,Noun,http://en.wikipedia.org/wiki/Datastore_network,,
date range,Noun,,,
day,Noun,,,
deactivate,Verb,[Orbot],desactivar,
debit,,,,
debriefing,Noun,,,
debug,Verb,,depurar,
debug log,Noun,[Signal],,
debug mode,Noun,,,
debugging,Noun,,depuración,
deck,Noun,[Ooniprobe] This is a collection of ooniprobe tests and inputs.,,
decline,Verb,"[Signal] To reject. As in ""Decline an incoming call.""",,
declined,Verb,,,
decompression,Noun,,,
decorating,,,,
decrypt,Verb,[Orbot] Cryptography is the process of encryption and decryption of data. [Signal],descifrar,Criptografía es el processo de cifrar and descifrar datos.
decrypted,Adjective,[Signal],,
decryption,Noun,[Orbot],descifrado,
dedicated server,Noun,[Globaleaks],,
deductible,,,,
deepending,Adjective,,profundizar / profundización,Para saber más o Profundizar o Profundización - editora de estilo debe de escoger y hacer estandard.
default,Adjective,[Globaleaks] [Signal] [Orbot],"por defecto, predeterminado",
default,Noun,[Orbot],"por defecto, predeterminado",
default server,Noun,,Servidor predeterminado,
defenders,,,,
delay,Noun,,,
delete,Verb,[Globaleaks] [Signal],eliminar,Sinónimo: borrar
deleted,Adjective,,"eliminado, -a",
deletion,Noun,[Globaleaks],,
deprecated,Adjective,,,
descriptor,Noun,"Identification item for a file, a program or a data.",,
deselect,Verb,,,
desktop,Noun,[Signal],computadora,
destroy,Verb,Removes message/file from the entire Peerio server and all users' accounts,,
detail,Noun,[Signal],,
detection,Noun,,,
deter,,,,
device,Noun,[Signal] [Orbot],dispositivo,(Sinónimo: aparato)
dialog,Noun,,,
diceware,Noun,,,
digital,Adjective,,,
digital,Noun,,,
digital certificate,Noun,"A way to confirm automatically that a public key is correct (is really the one that's used by a particular entity), in order to prevent man-in-the-middle attacks. Most often used by web sites to prove to your browser that you have a secure connection to the real site, and not to some other system that's tampering with your connection.
Synonyms: Security certificate.
Source EFF.",,
digital signature,Noun,"The use of a mathematical technique to confirm the origin of information, and to confirm that it wasn't changed since it was written. Digital signatures may be used with software downloads to make sure that the software you're installing is the same as the official published version, and that nobody has tampered with it. They're also often used on encrypted email and for many other purposes. When information isn't protected by a digital signature, an Internet service provider or other communications provider could change the contents of what someone wrote or published, and there wouldn't be a technical means to detect that this happened.
Synonyms: cryptographic signature.
Source EFF.",,
diplomats,,,,
directory,Noun,[Signal],,
directory authorities,Noun,,,
disable,Verb,[Signal] [Orbot],deshabilitar,
disabled,,,,
disabled,Adjective,,,
disabled,Verb,,,
disappearing message,Noun,[Signal],"desaparición de mensaje, caducidad de mensajes",la traducción depende del contexto
discard,Verb,[Signal],descartar,
disclaimer,Noun,,,
disconnect,Verb,[Signal],,
discouraged,,,,
discussion,Noun,,debate,
disk,Noun,"In most contexts in Martus, ""disk"" refers to any sort of removable storage device (USB, CD, floppy disk etc.)",disco,
diversify,,,,
document,Noun,[Signal],,
domain,Noun,An area or set of activities in one's digital life that has certain security requirements and therefore involves the use of certain qube.,Dominio,"(Quizás aqui se podría elegir otro término, que no dependa del término técnico ""domain"", que no se confunda con el témino domino utilizado para DNS y que sea más claro que en Qubes se refiere a diferentes entornos o ámbitos de trabajo) Se decidio continuar con la idea de dominio."
domain name,Noun,"The address, in words, of a website or Internet service; for example: ssd.eff.org. (Source: EFF)",,
domestic violence survivors,,,,
donating,,,,
donation,,,,
donations,,,,
donations,Noun,"feminine noun, otherwise a (V) verb. 
eu doo
tu doas
ele doa
nós doamos
vós doais
eles doam",,
donations options,,,,
donor,Noun,,,
download,,,,
download,Noun,[Globaleaks],descarga,
download,Verb,[Globaleaks],descargar,Sinónimo: bajar
draft,Noun,,,
drag,Verb,,,
drop-down list,Noun,,,
dual boot,Noun,,,
ePub Reader,Noun,,,
eQualitie,Noun,Do not translate,,
eavesdropper,Noun,,,
eavesdroppers,,,,
edit,Verb,,,
eepsite,Noun,,,
eligibility criteria,Noun,,,
email,,,,
email,Noun,,,
email address,,,,
email address,Noun,,,
email identity (e-mail identity),Noun,Synonym: e-mail identity,,
email provider,Noun,,,
"email, e-mail",Noun,Synonym: e-mail,,
emailing,,,,
embedded,Adjective,,,
emoji,Noun,[Signal],emoji,
enable,Verb,[Signal] [Globaleaks] [Orbot],habilitar,
enabling,,,,
encoded,Adjective,,,
encrypt,Verb,[Orbot] Cryptography is the process of encryption and decryption of data. [Signal],cifrar,
encrypted,Adjective,[Globaleaks],cifrado,
encrypted communication,Noun,,,
encrypted message,Noun,,,
encrypted persistent storage,Noun,[Tails],almacenamiento cifrado persistente,
encryption,Noun,"[Globaleaks] [Orbot] A process that takes a message and makes it unreadable except to a person who knows how to ""decrypt"" it back into a readable form. (Source: EFF)",cifrado,
encryption key,Noun,"[Globaleaks] An encryption key is a piece of information that is used to convert a message into an unreadable form. In some cases, you need the same encryption key to decode the message. In others, the encryption key and decryption key are different. (Source: EFF)",,
end-to-end,Conjunction,,,
end-to-end encryption,Noun,"End-to-end encryption ensures that a message is turned into a secret message by its original sender, and decoded only by its final recipient. Other forms of encryption may depend on encryption performed by third-parties. That means that those parties have to be trusted with the original text. End-to-end encryption is generally regarded as safer, because it reduces the number of parties who might be able to interfere or break the encryption. (Source: EFF) [Signal]",cifrado de extremo a extremo,
end-user,Noun,,,
engine,,,,
ensure,,,,
enter,Verb,,entrar,
entry guard,Noun,,,
error,Adjective,,,
error,Noun,[Signal],error,
event log,Noun,,,
exception,Noun,,,
exchange,Verb,,,
excited,,,,
executable,Noun,,,
exercised,,,,
exit,Noun,,,
exit,Verb,,,
exit relay,,,,
exit relay,Noun,,,
exited,Verb,,,
experience,Verb,,,
expiration,Noun,,,
expiration date,Noun,,,
expire,Verb,[Signal],"caducar, expirar",
expired,Noun,,caducado,
expiry,Noun,[Globaleaks],expiración,(Sinónimo: caducidad)
expiry,Verb,[Signal],,
export,Noun,[Signal],,
export,Verb,[Signal],exportar,
extend,Verb,[Globaleaks],,
extension,Noun,"A piece of software that modifies another software application, changing how it works or what it can do. Often add-ons can add privacy or security features to web browsers or email software. Some add-ons are malware, so be careful to install only those that are reputable and from official sources. (Synonyms: Add-on, Plugin)(Source: EFF)",,
extent,,,,
external storage,Noun,,,
extract,Verb,,,
fail,Verb,[Signal],,
failed,Adjective,,,
faq,,,,
fax,Noun,[Signal] As in “fax machine.”,,
feature,Noun,[Signal],,
feature set,Noun,,,
feed,Noun,E.g. RSS feed,,
feedback,,,,
fees,,,,
fetch,Verb,[Signal],,
ficheiro,Noun,,,
field,,,,
field,Noun,[Globaleaks] A data entry field,Campo,
figuring out,,,,
file,Noun,A data entry field [Signal] [Globaleaks],Archivo,
file ,Noun,,,
file attachment,,,,
file attachment,Noun,[Globaleaks],,
file container,Noun,,,
file sharing,Noun,,,
filed,,,,
filesystem,Noun,,,
filled out,,,,
filter,Noun,,,
financial,,,,
financially,,,,
find,Verb,,,
fingerprint,Noun,"[Orbot] The keys of public key cryptography are very large numbers, sometimes a thousand or more digits long. A fingerprint is a much smaller number or set of numbers and letters that can be used as a unique name for that key, without having to list all of the key's digits. So, for instance, if you and a friend wished to make sure you both had the same key, you could either spend a long time reading off all the hundreds of digits in the key, or you could each calculate your key's fingerprint and compare those instead. The fingerprints presented by cryptographic software usually consist of around 40 letters and numbers. If you carefully check that a fingerprint has the right value, you should be safe against impersonation using a fake key. Some software tools may offer more convenient alternative ways to verify a friend's key, but some form of verification needs to happen to prevent communications providers from easily being able to listen in.
Source EFF.",huella dactilar,"Las llaves de la criptografía de clave pública son números muy grandes, a veces, mil o más dígitos. Una huella dactilar es un número mucho más pequeño o un conjunto de números y letras que se pueden utilizar como un nombre único para esa clave, sin tener que enumerar todos los dígitos de la clave.; Así, por ejemplo, si tú y un amigo desean asegurarse de que ambos tienen la misma clave, se puede o bien leer durante un largo tiempo todos los cientos de dígitos de la clave, o podrían cada uno calcular la huella digital de su clave y compararlas en su lugar. Las huellas dactilares presentadas por software criptográfico lo general consisten en alrededor de 40 letras y números. Si revisas cuidadosamente que una huella digital tiene el valor correcto, estarás seguro contra la suplantación por clave falsa. Algunas herramientas de software pueden ofrecer formas alternativas más convenientes para verificar la clave de un amigo, pero algún tipo de verificación tiene que darse para prevenir que los proveedores de comunicaciones sean capaces de interceptarte con facilidad."
fingerprint identification,Noun,,,
firewall,Noun,"[Orbot] A tool that protects a computer from unwanted connections to or from local networks and the Internet. A firewall might have rules that forbid outgoing email, or connections to certain websites. Firewalls can be used as a first line of defense to protect a device from unexpected interference. Or they can be used to prevent users from using the Internet in certain ways. (Source: EFF)",firewall,"Una herramienta que protege una computadora de conexiones indeseadas a/o de un sistema local y la red de la Internet. Un firewall puede tener reglas que prohiben que la salida de  correo electrónico, o conexiones a ciertos sitios web. Firewalls puede ser utilizados como una primera linea de defensa para proteger un dispositivo de interferencias inesperadas. O pueden ser utilizadas para prevenir a los usuarios usar la Internet de ciertas maneras."
fits,,,,
fix,Noun,,,
fix,Verb,,,
flight vouchers,,,,
floodfill,Noun,,,
floodfill peer,Noun,,,
folder,Noun,[Signal],carpeta,
follow,Verb,,,
for,Preposition,,,
form,,,,
forum,Noun,[Signal],foro,
forward,,,,
forward,Verb,"[Signal] As in, “to forward an email or a message.”",,
foundations,,,,
fragment,Noun,,,
fraudulent ,,,,
free,,,,
free,Adjective,,,
freedom,Noun,[Orbot],libertad,
freedoms,,,,
frontdesk,,,,
full restricted route,Noun,,,
fund us,,,,
funding,,,,
furthering,,,,
gateway,Noun,,,
gender,Noun,,,
general,Adjective,,,
generate,Verb,"As in ""generate key"" [Signal]",generar,
generation,Noun,,,
generation ,Noun,,,
generator,Noun,,generador,
generator ,Noun,,generador,
geo-location,Noun,,geolocalización,
geography-based blocking,,,,
gift,,,,
gift cards,,,,
gift matching,,,,
gist,Noun,"""In computing, Gist is a scientific graphics library written in C by David H. Munro of Lawrence Livermore National Laboratory. It supports three graphics output devices: X Window, PostScript, and Computer Graphics Metafiles (CGM). The library is promoted as being small (writing directly to Xlib), efficient, and full-featured. "" -https://en.wikipedia.org/wiki/Gist_(computing) [Signal]",,
giving,,,,
goal,Noun,,objetivos,
grants,,,,
guard,Noun,,,
guard relay,Noun,[The Tor Project],,
guidelines,Noun,,,
handshake,Noun,Signal exchange process between pieces of equipment until they are synchronized. Transmitting and receiving communication can then take place.,,
hardware,,,,
header,Noun,,,
help,Noun,,Ayuda,
help,Verb,,Ayudar,
helper link,Noun,,,
helper link ,Noun,,,
hidden service,Noun,,,
hidden services,,,,
hidden volume,Noun,[VeraCrypt],,
hide,Verb,,,
high bandwidth,Noun,,,
high capacity,Noun,,,
high latency,Noun,,,
high-quality,,,,
hint,Noun,,,
history,Noun,"As in ""Browser History""",historia,
home,Noun,[Globaleaks],,
home directory,Noun,,,
hoodie,,,,
hoodie,Noun,,,
hoodies,,,,
host,Noun,[Signal] [Globaleaks] [Orbot],servidor,
host,Verb,[Orbot],"alojar,",
hostname,Noun,,,
hostnames,Noun,,,
hour,Noun,,,
however,,,,
https://tb-manual.torproject.org/en-US/bridges.html,,,https://tb-manual.torproject.org/es-ES/bridges.html,
human rights,,,,
human rights,Noun,,Derechos humanos,
human rights abuses,,,,
i.e.,Noun,,,
iCloud,Noun,[Signal],,
iOS,Noun,,,
iPhone,Noun,,,
ice breakers,Noun,,Ejercicios dinamizadores y energizantes,
icon,Noun,[Signal] [Orbot],ícono,
identicon,Noun,"A computer generated visual icon used as an alternative digital fingerprint. aka ""identicon"".
Synonym: avatar",,
identity,Noun,[Orbot],identidad,
ignore,Verb,,,
illegal,,,,
illustrated,Adverb,,,
illustrated ,Adverb,,,
image,Noun,,,
implement,,,,
import,Noun,[Signal],,
import,Verb,[Signal],importar,
improve,Verb,,mejorar,
in touch,,,,
in-transit encryption,Noun,,,
inactivity timeout,Noun,,,
inbox,Noun,,,
include,Verb,,,
incognito,Noun,[Signal],incógnito,
income,,,,
incoming,Adjective,[Signal],,
incompatible,Adjective,,,
incremental,Adjective,,,
individuals,,,,
info,Noun,,,
information,Noun,,,
informator,Noun,[Globaleaks],,
input,Noun,,insumos,
input,Verb,[Globaleaks],,
inquiries,,,,
install,Verb,[Orbot],instalar,
installation,Noun,,,
installer,Noun,,,
institutions,,,,
intended,,,,
intercept,Verb,[Signal],,
interface,Noun,,,
internet,Noun,[Signal] [Orbot],internet,
internet ,,,,
"internet filtering, content filtering",Noun,[Orbot] Filtering is the politer term for blocking or censoring Internet traffic. (Synonyms: blocking) (Source: EFF),filtrado de internet,Filtering/Filtrado es un termino educado para decir que se ha bloqueado o censurado el tráfico de la Internet.
interrupt,Verb,,,
intranet,Noun,,,
invalid,Adjective,[Orbot],inválido,
involved,,,,
iptables,Noun,"[Orbot] ""iptables is a user-space utility program that allows a system administrator to configure the tables[2] provided by the Linux kernel firewall (implemented as different Netfilter modules) and the chains and rules it stores. Different kernel modules and programs are currently used for different protocols; iptables applies to IPv4, ip6tables to IPv6, arptables to ARP, and ebtables to Ethernet frames."" (Wikipedia)",iptables,
isim,,,,
isolate,Verb,,Aislar,
isolation,Noun,,Aislamiento,
issue,Noun,[Signal],,
jar,Noun,"“A JAR (Java ARchive) is a package file format typically used to aggregate many Java class files and associated metadata and resources (text, images, etc.) into one file for distribution.” (https://en.wikipedia.org/wiki/JAR_(file_format))",,
jump service link,Noun,,,
kernel,Noun,,,kernel
key,Noun,"In cryptography, a piece of data which gives you the capability to encrypt or decrypt a message. (Source EFF) [Globaleaks] [Signal]",clave,
key ID,Noun,,,
key code,Noun,[Globaleaks],,
key list,Noun,,,
key owner,Noun,,,
key pair,Noun,"To receive encrypted messages using public key cryptography (and to reliably inform others that a message genuinely came from you), you need to create two keys. One, the private key, you keep secret. The other, the public key, you can let anyone see. The two keys are connected mathematically, and are often collectively known as a ""key pair.""
Source EFF.
Synonym: keypair",par de claves,
key password,Noun,,,
key size,Noun,,,
keyboard,Noun,[Signal],teclado,
keychain,Noun,,grupo de claves,
keypair (key pair),Noun,,par de claves,
keyring,Noun,"If you use public key cryptography, you'll need to keep track of many keys: your secret, private key, your public key, and the public keys of everyone you communicate with. The collection of these keys is often referred to as your keyring.
Source EFF.",juego de claves,"""keyring"" se traduce literalmente ""argolla de las llaves"". En español, decir eso es rebuscado. Es preferible decir ""llavero"", pues un llavero está asociado a esa argolla. Como sea, en este contexto donde no son llaves sino claves, es mejor decir ""juego de claves""."
keyserver,Noun,,,
keyword,Noun,,Palabras claves,
kidnapping,Noun,,secuestro,
kind,,,,
kinds,,,,
label,Noun,[Globaleaks],título,
language,Noun,[Globaleaks],,
large,,,,
launch,Noun,,,
launch,Verb,[Signal],,
law enforcement,Noun,"Sometimes used for ""law enforcement agencies"".",,
law enforcement agency,Noun,,,
learn,,,,
legal,,,,
legal costs,,,,
legitimate,Adjective,,,
library,Noun,"Refers to a ""library"" in computing",biblioteca,"""En informática, una biblioteca (del inglés library) es un conjunto de implementaciones funcionales, codificadas en un lenguaje de programación, que ofrece una interfaz bien definida para la funcionalidad que se invoca."" - Wikipedia"
license,Noun,,,
license ,Noun,,,
licensing,Noun,,,
