term,pos,comment,de
compartmentalize,Verb,,
compatible,Adjective,,Kompatibel
complete,Verb,,abschließen
completed,Adjective,,abgeschlossen
compose,Verb,[Signal],verfassen
compressed,Adjective,,
compression,Noun,,Kompression
compression/decompression tool,Noun,,
compromise,Verb,,
compromised,Noun,[Globaleaks],kompromittiert
computer,Noun,[Signal],Computer
concern,,,
concordance,Noun,,
conference,Noun,,Konferenz
conferences,,,
confidentiality,Adjective,[Globaleaks] [Orbot],vertraulich
configuration,Noun,[Globaleaks] [Orbot],Konfiguration
configure,Verb,[Signal] [Orbot],
confirm,Verb,,
connect,Verb,[Signal],
connecting,Verb,,
connection,,,
connection,Noun,[Orbot],Verbindung
consensus,Noun,,
constraint,Noun,,
contact,Noun,[Signal] [Martus] Another Martus user with whom you can share your Martus bulletins.,Kontakt
contact info,Noun,,
contact information,Noun,,
contact request,Noun,,Kontaktanfrage
content,Noun,,
context,Noun,"[Globaleaks] Tips are classifies in contexts, e.g. corruption",Kontext
control panel,Noun,,Systemsteuerung
control port,Noun,,Steueranschluss
conventional,Adjective,,
conversation,Noun,"A ""conversation"" is the same as a message ""thread"" [Signal]",Unterhaltung
cookie,Noun,"[Orbot] Cookies are a web technology that let websites recognize your browser. Cookies were originally designed to allow sites to offer online shopping carts, save preferences or keep you logged on to a site. They also enable tracking and profiling so sites can recognize you and learn more about where you go, which devices you use, and what you are interested in – even if you don't have an account with that site, or aren't logged in. (Source : EFF)",
cookies,Noun,,
copy,Verb,,
corporate foundation,,,
corporate intranet,Noun,"Companies and other large institutions will usually have some services (email, web, and access to files and printers for instance) that are accessible from within their own local network, but not from outside on the wider Internet. Most companies take this as being sufficient security to protect their internal documents, but this means that any attack that can connect to the intranet can access or interfere with all the information being kept locally. An example of such an attack is tricking an employee to install malware on their laptop. To allow employees to access the intranet via the wider Internet, companies will often provide their own Virtual Private Network (VPN) which creates a secure connection to the inside of the intranet from anywhere in the world.
Source EFF.",
country,,,
crack,,,
crash,Noun,,
crash report,Noun,,
create,Verb,,
credentials,Noun,,
credit card,,,
credits,Noun,,
critical,,,
cropping,Noun,,
cross-certification,Noun,,
crucial,Adjective,,notwendig
cryptocurrency,Noun,,
cryptographers,,,
cryptographic signature,Noun,"The use of a mathematical technique to confirm the origin of information, and to confirm that it wasn't changed since it was written. Digital signatures may be used with software downloads to make sure that the software you're installing is the same as the official published version, and that nobody has tampered with it. They're also often used on encrypted email and for many other purposes. When information isn't protected by a digital signature, an Internet service provider or other communications provider could change the contents of what someone wrote or published, and there wouldn't be a technical means to detect that this happened.
Synonyms: digital Signature
Source EFF.",
cryptography,Noun,"The art of designing secret codes or ciphers that let you send and receive messages to a recipient without others being able to understand the message.
Source EFF.",
cryptoparty,Noun,"When you're using public key encryption, it's important to be sure that the key you use to encrypt a message really belongs to the recipient (see key verification). PGP makes this a little easier by having a way to tell others ""I believe this key belongs to this person -- and if you trust me, you should believe that too."" Telling the world that you trust someone's key is called ""signing their key"": it means anyone who uses that key can see you vouched for it. To encourage everyone to check and sign each others keys, PGP users organize key-signing parties. They're almost, but not quite, as exciting as they sound.
Analogy: It's like a networking party, where you introduce your friends to other friends.
Synonyms: key-signing party.
Source EFF.",
"crítico, críticos, de segurança pessoal da informação",,,
current,Adjective,,
currently,,,
curriculum for trainers,Noun,,
custidoan,Noun,,
custodian,Noun,[Globaleaks],
custom,Adjective,,
customer support,Noun,,Kundendienst
customization,Noun,[Globaleaks],Anpassung
customize,Verb,,
cut,Verb,,
daemon,Noun,,
dashboard,Noun,,
data,Noun,[Signal] [Orbot],
data package,Noun,,
data retention,Noun,,
data storage,Noun,,Datenspeicherung
data-Driven Dropdown (Field),Noun,[Martus],
database,Noun,[Signal],
datastore,Noun,http://en.wikipedia.org/wiki/Datastore_network,Datenspeicher
date range,Noun,,Datenbereich
day,Noun,,
deactivate,Verb,[Orbot],
debit,,,
debriefing,Noun,,
debug,Verb,,Fehlerdiagnose
debug log,Noun,[Signal],
debug mode,Noun,,
debugging,Noun,,
deck,Noun,[Ooniprobe] This is a collection of ooniprobe tests and inputs.,
decline,Verb,"[Signal] To reject. As in ""Decline an incoming call.""",ablehnen
declined,Verb,,
decompression,Noun,,Dekomprimieren
decorating,,,
decrypt,Verb,[Orbot] Cryptography is the process of encryption and decryption of data. [Signal],entschlüsseln
decrypted,Adjective,[Signal],entschlüsselt
decryption,Noun,[Orbot],Entschlüsselung
dedicated server,Noun,[Globaleaks],Dezidierter Server
deductible,,,
deepending,Adjective,,
default,Adjective,[Globaleaks] [Signal] [Orbot],Standard
default,Noun,[Orbot],Standard
default server,Noun,,Standardserver
defenders,,,
delay,Noun,,
delete,Verb,[Globaleaks] [Signal],löschen
deleted,Adjective,,gelöscht
deletion,Noun,[Globaleaks],Löschung
deprecated,Adjective,,
descriptor,Noun,"Identification item for a file, a program or a data.",
deselect,Verb,,
desktop,Noun,[Signal],Schreibtisch
destroy,Verb,Removes message/file from the entire Peerio server and all users' accounts,vernichten
detail,Noun,[Signal],
detection,Noun,,
deter,,,
device,Noun,[Signal] [Orbot],Gerät
dialog,Noun,,Dialog
diceware,Noun,,
digital,Adjective,,
digital,Noun,,
digital certificate,Noun,"A way to confirm automatically that a public key is correct (is really the one that's used by a particular entity), in order to prevent man-in-the-middle attacks. Most often used by web sites to prove to your browser that you have a secure connection to the real site, and not to some other system that's tampering with your connection.
Synonyms: Security certificate.
Source EFF.",
digital signature,Noun,"The use of a mathematical technique to confirm the origin of information, and to confirm that it wasn't changed since it was written. Digital signatures may be used with software downloads to make sure that the software you're installing is the same as the official published version, and that nobody has tampered with it. They're also often used on encrypted email and for many other purposes. When information isn't protected by a digital signature, an Internet service provider or other communications provider could change the contents of what someone wrote or published, and there wouldn't be a technical means to detect that this happened.
Synonyms: cryptographic signature.
Source EFF.",
diplomats,,,
directory,Noun,[Signal],
directory authorities,Noun,,
disable,Verb,[Signal] [Orbot],deaktivieren
disabled,,,
disabled,Adjective,,
disabled,Verb,,deaktiviert
disappearing message,Noun,[Signal],
discard,Verb,[Signal],Verwerfen
disclaimer,Noun,,
disconnect,Verb,[Signal],
discouraged,,,
discussion,Noun,,
disk,Noun,"In most contexts in Martus, ""disk"" refers to any sort of removable storage device (USB, CD, floppy disk etc.)",
diversify,,,
document,Noun,[Signal],
domain,Noun,An area or set of activities in one's digital life that has certain security requirements and therefore involves the use of certain qube.,Domain
domain name,Noun,"The address, in words, of a website or Internet service; for example: ssd.eff.org. (Source: EFF)",
domestic violence survivors,,,
donating,,,
donation,,,
donations,,,
donations,Noun,"feminine noun, otherwise a (V) verb. 
eu doo
tu doas
ele doa
nós doamos
vós doais
eles doam",
donations options,,,
donor,Noun,,
download,,,
download,Noun,[Globaleaks],Download
download,Verb,[Globaleaks],herunterladen
draft,Noun,,Entwurf
drag,Verb,,ziehen
drop-down list,Noun,,Auswahlliste
dual boot,Noun,,
ePub Reader,Noun,,
eQualitie,Noun,Do not translate,
eavesdropper,Noun,,
eavesdroppers,,,
edit,Verb,,bearbeiten
eepsite,Noun,,
eligibility criteria,Noun,,
email,,,
email,Noun,,
email address,,,
email address,Noun,,E-Mail-Adresse
email identity (e-mail identity),Noun,Synonym: e-mail identity,
email provider,Noun,,E-Mail-Anbieter
"email, e-mail",Noun,Synonym: e-mail,E-Mail
emailing,,,
embedded,Adjective,,
emoji,Noun,[Signal],
enable,Verb,[Signal] [Globaleaks] [Orbot],aktivieren
enabling,,,
encoded,Adjective,,
encrypt,Verb,[Orbot] Cryptography is the process of encryption and decryption of data. [Signal],verschlüsseln
encrypted,Adjective,[Globaleaks],verschlüsselt
encrypted communication,Noun,,
encrypted message,Noun,,
encrypted persistent storage,Noun,[Tails],
encryption,Noun,"[Globaleaks] [Orbot] A process that takes a message and makes it unreadable except to a person who knows how to ""decrypt"" it back into a readable form. (Source: EFF)",Verschlüsselung
encryption key,Noun,"[Globaleaks] An encryption key is a piece of information that is used to convert a message into an unreadable form. In some cases, you need the same encryption key to decode the message. In others, the encryption key and decryption key are different. (Source: EFF)",Schlüssel
end-to-end,Conjunction,,Ende-zu-Ende
end-to-end encryption,Noun,"End-to-end encryption ensures that a message is turned into a secret message by its original sender, and decoded only by its final recipient. Other forms of encryption may depend on encryption performed by third-parties. That means that those parties have to be trusted with the original text. End-to-end encryption is generally regarded as safer, because it reduces the number of parties who might be able to interfere or break the encryption. (Source: EFF) [Signal]",
end-user,Noun,,
engine,,,
ensure,,,
enter,Verb,,eingeben
entry guard,Noun,,Eingangswächter
error,Adjective,,
error,Noun,[Signal],Fehler
event log,Noun,,
exception,Noun,,
exchange,Verb,,
excited,,,
executable,Noun,,
exercised,,,
exit,Noun,,
exit,Verb,,verlassen
exit relay,,,
exit relay,Noun,,Exit-Server
exited,Verb,,Verlassen
experience,Verb,,
expiration,Noun,,
expiration date,Noun,,Ablaufdatum
expire,Verb,[Signal],
expired,Noun,,
expiry,Noun,[Globaleaks],Ablauf
expiry,Verb,[Signal],
export,Noun,[Signal],
export,Verb,[Signal],exportieren
extend,Verb,[Globaleaks],
extension,Noun,"A piece of software that modifies another software application, changing how it works or what it can do. Often add-ons can add privacy or security features to web browsers or email software. Some add-ons are malware, so be careful to install only those that are reputable and from official sources. (Synonyms: Add-on, Plugin)(Source: EFF)",
extent,,,
external storage,Noun,,
extract,Verb,,extrahiert
fail,Verb,[Signal],fehlgeschlagen
failed,Adjective,,fehlgeschlagen
faq,,,
fax,Noun,[Signal] As in “fax machine.”,
feature,Noun,[Signal],
feature set,Noun,,
feed,Noun,E.g. RSS feed,
feedback,,,
fees,,,
fetch,Verb,[Signal],
ficheiro,Noun,,
field,,,
field,Noun,[Globaleaks] A data entry field,Feld
figuring out,,,
file,Noun,A data entry field [Signal] [Globaleaks],Datei
file ,Noun,,
file attachment,,,
file attachment,Noun,[Globaleaks],Dateianhang
file container,Noun,,
file sharing,Noun,,gemeinsamer Dateizugriff
filed,,,
filesystem,Noun,,
filled out,,,
filter,Noun,,
financial,,,
financially,,,
find,Verb,,
fingerprint,Noun,"[Orbot] The keys of public key cryptography are very large numbers, sometimes a thousand or more digits long. A fingerprint is a much smaller number or set of numbers and letters that can be used as a unique name for that key, without having to list all of the key's digits. So, for instance, if you and a friend wished to make sure you both had the same key, you could either spend a long time reading off all the hundreds of digits in the key, or you could each calculate your key's fingerprint and compare those instead. The fingerprints presented by cryptographic software usually consist of around 40 letters and numbers. If you carefully check that a fingerprint has the right value, you should be safe against impersonation using a fake key. Some software tools may offer more convenient alternative ways to verify a friend's key, but some form of verification needs to happen to prevent communications providers from easily being able to listen in.
Source EFF.",Fingerabdruck
fingerprint identification,Noun,,
firewall,Noun,"[Orbot] A tool that protects a computer from unwanted connections to or from local networks and the Internet. A firewall might have rules that forbid outgoing email, or connections to certain websites. Firewalls can be used as a first line of defense to protect a device from unexpected interference. Or they can be used to prevent users from using the Internet in certain ways. (Source: EFF)",
fits,,,
fix,Noun,,
fix,Verb,,Korrektur
flight vouchers,,,
floodfill,Noun,,
floodfill peer,Noun,,
folder,Noun,[Signal],Ordner
follow,Verb,,
for,Preposition,,
form,,,
forum,Noun,[Signal],
forward,,,
forward,Verb,"[Signal] As in, “to forward an email or a message.”",
foundations,,,
fragment,Noun,,
fraudulent ,,,
free,,,
free,Adjective,,
freedom,Noun,[Orbot],
freedoms,,,
frontdesk,,,
full restricted route,Noun,,
fund us,,,
funding,,,
furthering,,,
gateway,Noun,,
gender,Noun,,
general,Adjective,,generell
generate,Verb,"As in ""generate key"" [Signal]",erzeugen
generation,Noun,,
generation ,Noun,,Erzeugung
generator,Noun,,
generator ,Noun,,
geo-location,Noun,,
geography-based blocking,,,
gift,,,
gift cards,,,
gift matching,,,
gist,Noun,"""In computing, Gist is a scientific graphics library written in C by David H. Munro of Lawrence Livermore National Laboratory. It supports three graphics output devices: X Window, PostScript, and Computer Graphics Metafiles (CGM). The library is promoted as being small (writing directly to Xlib), efficient, and full-featured. "" -https://en.wikipedia.org/wiki/Gist_(computing) [Signal]",
giving,,,
goal,Noun,,
grants,,,
guard,Noun,,Wächter
guard relay,Noun,[The Tor Project],Wächterrelais
guidelines,Noun,,
handshake,Noun,Signal exchange process between pieces of equipment until they are synchronized. Transmitting and receiving communication can then take place.,
hardware,,,
header,Noun,,
help,Noun,,Hilfe
help,Verb,,helfen
helper link,Noun,,
helper link ,Noun,,
hidden service,Noun,,
hidden services,,,
hidden volume,Noun,[VeraCrypt],
hide,Verb,,verstecken
high bandwidth,Noun,,
high capacity,Noun,,
high latency,Noun,,
high-quality,,,
hint,Noun,,
history,Noun,"As in ""Browser History""",Verlauf
home,Noun,[Globaleaks],
home directory,Noun,,Startseite
hoodie,,,
hoodie,Noun,,
hoodies,,,
host,Noun,[Signal] [Globaleaks] [Orbot],
host,Verb,[Orbot],
hostname,Noun,,Hostname
hostnames,Noun,,
hour,Noun,,
however,,,
https://tb-manual.torproject.org/en-US/bridges.html,,,
human rights,,,
human rights,Noun,,Menschenrechte
human rights abuses,,,
i.e.,Noun,,
iCloud,Noun,[Signal],
iOS,Noun,,
iPhone,Noun,,
ice breakers,Noun,,
icon,Noun,[Signal] [Orbot],
identicon,Noun,"A computer generated visual icon used as an alternative digital fingerprint. aka ""identicon"".
Synonym: avatar",
identity,Noun,[Orbot],Identität
ignore,Verb,,ignorieren
illegal,,,
illustrated,Adverb,,
illustrated ,Adverb,,
image,Noun,,Abbild
implement,,,
import,Noun,[Signal],
import,Verb,[Signal],importieren
improve,Verb,,verbessern
in touch,,,
in-transit encryption,Noun,,Transportverschlüsselung
inactivity timeout,Noun,,
inbox,Noun,,[Post]eingang
include,Verb,,einschließen
incognito,Noun,[Signal],
income,,,
incoming,Adjective,[Signal],
incompatible,Adjective,,inkompatibel
incremental,Adjective,,
individuals,,,
info,Noun,,Info
information,Noun,,
informator,Noun,[Globaleaks],
input,Noun,,Eingabe
input,Verb,[Globaleaks],Eingabe
inquiries,,,
install,Verb,[Orbot],
installation,Noun,,Installation
installer,Noun,,
institutions,,,
intended,,,
intercept,Verb,[Signal],
interface,Noun,,
internet,Noun,[Signal] [Orbot],
internet ,,,
"internet filtering, content filtering",Noun,[Orbot] Filtering is the politer term for blocking or censoring Internet traffic. (Synonyms: blocking) (Source: EFF),
interrupt,Verb,,unterbrechen
intranet,Noun,,Intranet
invalid,Adjective,[Orbot],Ungültig
involved,,,
iptables,Noun,"[Orbot] ""iptables is a user-space utility program that allows a system administrator to configure the tables[2] provided by the Linux kernel firewall (implemented as different Netfilter modules) and the chains and rules it stores. Different kernel modules and programs are currently used for different protocols; iptables applies to IPv4, ip6tables to IPv6, arptables to ARP, and ebtables to Ethernet frames."" (Wikipedia)",
isim,,,
isolate,Verb,,
isolation,Noun,,
issue,Noun,[Signal],
jar,Noun,"“A JAR (Java ARchive) is a package file format typically used to aggregate many Java class files and associated metadata and resources (text, images, etc.) into one file for distribution.” (https://en.wikipedia.org/wiki/JAR_(file_format))",
jump service link,Noun,,
kernel,Noun,,
key,Noun,"In cryptography, a piece of data which gives you the capability to encrypt or decrypt a message. (Source EFF) [Globaleaks] [Signal]",Schlüssel
key ID,Noun,,Schlüsselkennung
key code,Noun,[Globaleaks],
key list,Noun,,
key owner,Noun,,
key pair,Noun,"To receive encrypted messages using public key cryptography (and to reliably inform others that a message genuinely came from you), you need to create two keys. One, the private key, you keep secret. The other, the public key, you can let anyone see. The two keys are connected mathematically, and are often collectively known as a ""key pair.""
Source EFF.
Synonym: keypair",Schlüsselpaar
key password,Noun,,Schlüsselpasswort
key size,Noun,,
keyboard,Noun,[Signal],
keychain,Noun,,Schlüsselbund
keypair (key pair),Noun,,
keyring,Noun,"If you use public key cryptography, you'll need to keep track of many keys: your secret, private key, your public key, and the public keys of everyone you communicate with. The collection of these keys is often referred to as your keyring.
Source EFF.",Schlüsselbund
keyserver,Noun,,Schlüsselserver
keyword,Noun,,Schlüsselwörter
kidnapping,Noun,,
kind,,,
kinds,,,
label,Noun,[Globaleaks],Bezeichnung
language,Noun,[Globaleaks],
large,,,
launch,Noun,,starten
launch,Verb,[Signal],
law enforcement,Noun,"Sometimes used for ""law enforcement agencies"".",Strafverfolgung[sbehörden]
law enforcement agency,Noun,,
learn,,,
legal,,,
legal costs,,,
legitimate,Adjective,,
library,Noun,"Refers to a ""library"" in computing",
license,Noun,,
license ,Noun,,Lizenz
licensing,Noun,,
limited edition,,,
line-of-sight,Noun,,
link,Noun,,Verweis [HTML-Link]
link,Verb,[Signal],
linked device,Noun,[Signal] A mobile phone with a Signal account that is connected to a Signal Desktop account.,
little,,,
live,Adverb,,live
load,Noun,[Globaleaks],
load,Verb,[Globaleaks] [Signal],laden
loading,Verb,[Globaleaks],
locate,Noun,,
located,,,
location,Noun,,Ort
lock,Verb,,
lock icon,Noun,,
log,Noun,[Signal] [Orbot],
log,Verb,[Globaleaks],Protokoll
log data,Noun,,
log file,Noun,,
log in,Verb,,anmelden
logged in,Adjective,[Globaleaks],eingeloggt
logging,,,
logging,Noun,,
login,Noun,[Globaleaks],Einloggen
logo,Noun,,
logout,Noun,[Globaleaks],"abmelden, Ausloggen"
long,Adjective,[Globaleaks],
low latency,Noun,,
macOS,Noun,[Signal],
machine learning,Noun,,
mail,,"In Português when you say ""Mail"" we understand it as ""snail mail"" that in Português means, ""correio""",
mail,Noun,,E-Mail
mailbox,Noun,,Postfach
mailing,,,
mailing address,,,
mailing list,Noun,,
main menu,Noun,,Hauptmenü
maintain,Verb,,aufrecherhalten
manifest,Noun,,Manifest
manual,Adjective,,
master key,Noun,,Hauptschlüssel
match,Verb,,
match ,Verb,,
matching,,,
"mbps, MB/s",Noun,[Orbot] megabytes per second,
mechanism,,,
media,Noun,[Signal],
media message,Noun,[Signal],
member,,,
membership program,,,
menu,Noun,,Menü
menu bar,Noun,[Signal],
message,Noun,[Signal],Nachricht
message body,Noun,,Textkörper
message thread,Noun,"Alternative to ""conversation""",Unterhaltung
messaging,Noun,[Orbot],Sofortnachrichten
meta search engine,,,
metadata,Noun,"Metadata (or ""data about data"") is everything about a piece of information, apart from the information itself. So the content of a message is not metadata, but who sent it, when, where from, and to whom, are all examples of metadata. Legal systems often protect content more than metadata: for instance, in the United States, law enforcement needs a warrant to listen to a person's telephone calls, but claims the right to obtain the list of who you have called far more easily. However, metadata can often reveal a great deal, and will often need to be protected as carefully as the data it describes. (Source EFF) [Signal]",Meta-Daten
method,,,
microphone,Noun,[Signal],
middle relay,Noun,,
migrate,Verb,[Signal],
miniLock,Noun,,miniLock
minimize,Verb,Minimize a window,
ministreaming library,Noun,[I2P],
minute,Noun,,
mirror,Noun,,
miscellaneous,Adjective,,sonstiges
missing,,,
mixed content,Noun,,gemischte Inhalte
mobile,Adjective,,
mobile data,Noun,,
mobile devices,,,
mobile notifications,Noun,,Mobiltelefon-Benachrichtigungen
mobile number,Noun,,Mobilrufnummer
modal,Adjective,,
mode,Noun,[Globaleaks] [Orbot],Modus
modes,,,
module,Noun,,
money order,,,
monitor,,,
month,Noun,,
mount,Verb,,einhängen
mouse,Noun,,Maus
move,Verb,,verschieben
multi-boot,Noun,,
multimedia,Adjective,[Signal],
mute,Noun,[Signal],
mute,Verb,,
name,,,
name,Noun,,Name
nameserver,Noun,,
nearly,,,
neighborhood,Noun,,Nachbarschaft
network,,,
network,Noun,[Signal] [Orbot],Netzwerk
network admin,Noun,,
network administrator,Noun,,
network request,Noun,,
networking,Noun,,
new,Adjective,,Neu
nickname,Noun,,Spitzname
"nickname, nick",Noun,[Orbot],
node,Noun,[Orbot],
non-financial,,,
non-private,,,
non-profit organization,,,
nonprofits,,,
note,Noun,,merke
notification,Noun,[Globaleaks] [Signal],Benachrichtigung
notify,Verb,,
obfuscate,Verb,"[Orbot] Transforming of a section of code or program to make it totally unintelligible to a human reader, even if helped by software tools.",verschleiern
obfuscation,Noun,"Transformation of a section of code or program to make it totally unintelligible to a human reader, even if helped by software tools.",
obfuscation layer,Noun,"Related to data transmission
[Tor]",
offline,Adjective,[Signal],
onboarding,Noun,,
once,,,
onion service,Noun,[Tor],Onion-Dienst
online,,,
online,Adjective,[Signal],
open,Adjective,,
open,Verb,,öffnen
open source,Noun,[Orbot],
open-source,Adjective,[Orbot],Open Source
opened,Verb,,geöffnet
operate,,,
operator,Noun,,
opt,,,
optical,Adjective,,optisch
optimization,Noun,[Orbot],
optimize,Verb,[Signal] [Orbot],
option,Noun,,optionen
optional,Adjective,,
options,,,
or via,,,
order,Verb,[Globaleaks],
organizations,,,
organize,Verb,,organisieren
other,Adjective,,
outer volume,Noun,,
outgoing,Adjective,[Signal],
output,Noun,,Ausgabe
overlay,Noun,,
overview,,,
overview page,,,
owner,Noun,,Eigentümer
ownership,Noun,,Eigentum
pack,,,
package,Noun,,packet
package manager,Noun,,
padding,Noun,[Orbot],
pager,Noun,[Signal],
paid,,,
pair,Verb,"To link devices, using bluetooth for example. [Signal]",
paper,Noun,,
paperwork,,,
paravirtualization,Noun,"""Paravirtualization"" An efficient and lightweight virtualization technique originally introduced by the Xen Project and later adopted by other virtualization platforms.",
parent,Adjective,,
parse,Verb,,
part,Noun,,Teil
partial,Adjective,,
partially,Adverb,,
partition,Noun,"""Disk partitioning or disk slicing[1] is the creation of one or more regions on a hard disk or other secondary storage, so that an operating system can manage information in each region separately."" -https://en.wikipedia.org/wiki/Disk_partitioning",
passcode,Noun,A user-chosen and device-specific password. [Signal],Passcode
passphrase,Noun,A computer-generated set of 6-10 random words used as the primary authentication for Peerio accounts. [Signal],Passphrase
password,Noun,"A secret meant to be memorized, and meant to limit access to something so that only someone who knows the password can gain access. It might limit access to an online account, a device, or something else. A long password based on multiple words may also be called a ""passphrase"" to remind us that it's not just one ""word."" A main password to unlock other passwords in a password manager or password safe application is often called a ""master password.”
Source EFF.",Passwort
passwords,Noun,,
paste,Noun,,
paste,Verb,,
path,Noun,,Pfad
payload,Noun,,
payment,,,
peer,Noun,,
peer reviewed,Adjective,,von Experten geprüft
peer-to-peer,,,
peers,Noun,,
pending,Adjective,[Signal],ausstehend
penetration test,Noun,,
perceived performance,Noun,,
performance,Noun,,
permission,Noun,[Signal] [Orbot],
persistence,Adjective,,beständig
persistence,Noun,,beständige Datenpartition
persistence partition,Noun,,permanente Partition
persistent,Adjective,,beständig
persistent overlay,Noun,,beständige Überlagerung
persistent storage,Noun,[Tails],beständige Datenpartition
persistent volume,Noun,,beständige Datenpartition
phishing,Noun,,
physical surveillance,Noun,,
pin,Verb,"Pin a tab, a site in a browser.",
ping,Noun,[Globaleaks],
please,Adverb,,
please mail,,,
pluggable transports,Noun,,
plugin,Noun,"A piece of software that modifies another software application, changing how it works or what it can do. Often add-ons can add privacy or security features to web browsers or email software. Some add-ons are malware, so be careful to install only those that are reputable and from official sources. (Synonyms: add-on, extension)(Source: EFF)",Erweiterung
policies,Noun,,Richtlinien
policies,Verb,,
policy,Noun,,Richtlinie
policymakers,,,
popup,Noun,,
popup window,Noun,,
port,Noun,[Signal] [Globaleaks] [Orbot],Anschluss
portable,Adjective,,
postponed,Adjective,[Globaleaks],aufschieben
predecessor attack,Noun,,
preenchido,,,
preference,Noun,[Globaleaks],Einstellung
preferences,Noun,[Globaleaks] [Signal],Einstellungen
preferences page,Noun,[Globaleaks],
preferred,,,
prevent,,,
prevent,Verb,,verhindern
prevents,,,
preview,Noun,[Globaleaks],Vorschau
preview,Verb,[Signal],
privacy,,,
privacy,Noun,[Signal] [Orbot],
privacy advocates,,,
privacy notice,Noun,,
privacy officer,Noun,,
privacy-enhancing,,,
private,,,
private,Adjective,,
private browsing,,,
private key (secret key),Noun,,privater Schlüssel
privoxy,Noun,,
probing,Verb,,
process,,,
process,Noun,,
process,Verb,[Signal],
processed,Adjective,,verarbeitet
processor,,,
profile,Noun,[Signal],Profil
program,Noun,,Programm
proof,Noun,,
proofs,Noun,,
properly,Adverb,,richtig
protects,,,
protocol,Noun,"[Orbot] A communications protocol is a way of sending data between programs or computers. Software programs that use the same protocol can talk to each other: so web browsers and web servers speak the same protocol, called ""http"". Some protocols use encryption to protect their contents. The secure version of the http protocol is called ""https"". Another example of an encrypted protocol used by many different programs is OTR (Off-the-Record), a protocol for secure  messaging. (Source EFF)",
prototype,Noun,,
provide,,,
provider,Noun,,
providers,,,
proxied,Adjective,,vermittelt
proxied site,Noun,,Vermittelte Seiten
proxy,Noun,[Orbot],
proxy,Verb,[Orbot],
proxy test,Noun,,Vermittlungsservertest
proxychains,,,
public account ID,Noun,The Martus account's public identifier,Öffentliche Kontokennung
public code,Noun,,
public key,Noun,,öffentlicher Schlüssel
public key / public account key,Noun,[Martus] The Martus account's public key,Öffentlicher Schlüssel
public key infrastructure,Noun,,
publicly,,,
publish,,,
publish,Verb,,
pull,Noun,9,
pull,Verb,"In the context of commits (GitHub, GitLab etc.)",
purpose,,,
push framework,Noun,[Signal],
push notification,Noun,[Signal],
quality-wise,,,
qube,Noun,[QubesOS] A user-friendly term for a VM in Qubes OS.,
question,Verb,,
questionaire,Noun,,
queue,Verb,"To form or wait in a line. ""Queued"" messages may be waiting to be sent for example. [Signal]",
quit,Verb,[Signal],
range,,,
range,Noun,[Globaleaks],
read receipt,Noun,[Signal],
read-only,Adjective,,schreibgeschützt
reader,Noun,,
receipt,,,
receipt,Noun,[Globaleaks],Empfangsbestätigung
receive,Verb,,
receiver,Noun,,
recipient,Noun,[Globaleaks] [Signal],Empfänger
recommend,,,
recommend,Verb,,empfehlen
reconnect,Verb,,"erneut verbinden, wieder verbinden"
record,Noun,,"Eintrag, Datensatz"
record,Verb,,
records,,,
recover,Verb,"Recover data, an account, etc.",wiederherstellen
recover an amount,Verb,"Recover money that you have spent, invested, or lent, you get the amount back.",
redact,,,
redacted,Verb,,
reenter,Verb,,
referral code,Noun,,
refund,,,
refunded,,,
register,Verb,,Benutzerkonto anlegen
regular,Adjective,,
regular expression,Noun,,
reinstall,Verb,[Signal],
reject,,,
relay,,,
relay,Noun,[Orbot],Relais
relay,Verb,[Signal],weiterleiten / umleiten
relay directory,Noun,,
relay node,Noun,[Orbot],
relays,,,
relays,Noun,,
release,Noun,,Veröffentlichung
release,Verb,,
release candidate,Noun,,
release notes,Noun,[Signal],
relink,Verb,[Signal],
reload,,,
reload,Verb,[Globaleaks],neu laden
rely,,,
remaining,Adjective,,verbleibend
remains,,,
remove,Verb,,entfernen
rename,Verb,,umbenennen
render,Verb,,
rendering,Adjective,,
rendering,Noun,,
rent,,,
report,,,
report,Noun,[Globaleaks],Bericht
report,Verb,[Signal],berichten
reporting,,,
repository,Noun,,
request,,,
request,Noun,[Globaleaks],Anforderung
request,Verb,,anfordern
required,,,
required fields,,,
requires,,,
rescan,Verb,,erneut durchsuchen
research,,,
researchers,,,
resend,Verb,,
reserve,,,
reset,Noun,,
reset,Verb,[Globaleaks] [Signal] [Orbot],zurücksetzen
resolver,Noun,,
resources,,,
restart,Noun,,Neustart
restart,Verb,[Globaleaks] [Signal] [Orbot],Neustart
restore,Verb,[Signal] [Orbot],wiederherstellen
restrict,,,
restricted route,Noun,,
restriction,Noun,,
retained,Verb,,
retrieve,Verb,(from server),abrufen
review,Verb,,
revision,Noun,,
revokation certificate,Noun,,Widerrufszertifikat
revoke,Verb,,
revoke ,Verb,,widerrufen
revoked,Adjective,,widerrufene(n)
ring,Verb,[Signal],
rip,Verb,,
robust,,,
role,Noun,[Globaleaks],
rooftop,Noun,,"Hausdach, Hausdächer (pl)"
room,Noun,,Raum
root,Adjective,,Wurzel
root,Verb,,
root domain,Noun,,
"root, root directory",Noun,[Orbot],
route,Noun,,
route,Verb,[Orbot],
router,Noun,,
router console,Noun,,
router console ,Noun,,Routerkonsole
routing,Noun,,
row,Noun,,
rule,Noun,,
ruleset,Noun,,Regelsatz
run,,,
run,Verb,,ausführen
